###### 25/06/2018 ######
Product Name :Ips500W
Quantity     :1
Price        : 5000.0
###### 29/06/2018 ######
Product Name :Ips500W
Quantity     :1
Price        : 5000.0
###### 29/06/2018 ######
Product Name :sad
Quantity     :1
Price        : 7500.0
###### 29/06/2018 ######
Product Name :sad
Quantity     :1
Price        : 7500.0
###### 29/06/2018 ######
Product Name :Ips500W
Quantity     :1
Price        : 5000.0
###### 29/06/2018 ######
Product Name :Ips500W
Quantity     :1
Price        : 5000.0
###### 29/06/2018 ######
Product Name :Ips500W
Quantity     :1
Price        : 5000.0
###### 17/07/2018 ######
Product Name :sad
Quantity     :1
Price        : 7500.0
###### 17/07/2018 ######
Product Name :Ips500W
Quantity     :1
Price        : 5000.0
###### 17/07/2018 ######
Product Name :Ips500W
Quantity     :1
Price        : 5000.0
###### 17/07/2018 ######
Product Name :Ips500W
Quantity     :1
Price        : 5000.0
###### 17/07/2018 ######
Product Name :Ips500W
Quantity     :1
Price        : 5000.0
###### 17/07/2018 ######
Product Name :Ips500W
Quantity     :1
Price        : 5000.0
###### 17/07/2018 ######
Product Name :Ips500W
Quantity     :1
Price        : 5000.0
###### 17/07/2018 ######
Product Name :Ips500W
Quantity     :1
Price        : 5000.0
Product Name :sad
Quantity     :1
Price        : 7500.0
###### 17/07/2018 ######
Product Name :Ips500W
Quantity     :1
Price        : 5000.0
###### 17/07/2018 ######
Product Name :Ips500W
Quantity     :1
Price        : 5000.0
Product Name :sad
Quantity     :1
Price        : 7500.0
###### 17/07/2018 ######
Product Name :Ips500W
Quantity     :1
Price        : 5000.0
###### 17/07/2018 ######
Product Name :Ips500W
Quantity     :1
Price        : 5000.0
Product Name :sad
Quantity     :1
Price        : 7500.0
###### 17/07/2018 ######
Product Name :Ips500W
Quantity     :1
Price        : 5000.0
###### 17/07/2018 ######
Product Name :sad
Quantity     :1
Price        : 7500.0
